Name,Synonym,Formula,CAS,MW,form,Melting point,Boiling point,density,Solubility in 100 mL of water,Unnamed: 10,Target,mass_frac
Sodium iodide dihydrate,,NaI+2H2O,13517-06-1,185.925,hyg col monocl cry,69 dec,,2.45,3180.0,,H,0.0216848963431
Sodium iodide dihydrate,,NaI+2H2O,13517-06-1,185.925,hyg col monocl cry,69 dec,,2.45,3180.0,,I,0.682558058373
Sodium iodide dihydrate,,NaI+2H2O,13517-06-1,185.925,hyg col monocl cry,69 dec,,2.45,3180.0,,Na,0.123650902779
Sodium iodide dihydrate,,NaI+2H2O,13517-06-1,185.925,hyg col monocl cry,69 dec,,2.45,3180.0,,O,0.172106142504
Sodium metabisulfite,Sodium pyrosulfite,Na2S2O5,7681-57-4,190.107,wh cry,,,,66.725,,Na,0.241861952294
Sodium metabisulfite,Sodium pyrosulfite,Na2S2O5,7681-57-4,190.107,wh cry,,,,66.725,,O,0.420800886734
Sodium metabisulfite,Sodium pyrosulfite,Na2S2O5,7681-57-4,190.107,wh cry,,,,66.725,,S,0.337337160972
Sodium metaborate,,NaBO2,7775-19-1,65.8,wh hex cry,966,1434,2.46,,,B,0.164301987358
Sodium metaborate,,NaBO2,7775-19-1,65.8,wh hex cry,966,1434,2.46,,,Na,0.349390877958
Sodium metaborate,,NaBO2,7775-19-1,65.8,wh hex cry,966,1434,2.46,,,O,0.486307134684
Sodium metasilicate,Water glass,Na2SiO3,6834-92-0,122.064,wh amorp solid; hyg,1089,,2.61,,,Na,0.376686208743
Sodium metasilicate,Water glass,Na2SiO3,6834-92-0,122.064,wh amorp solid; hyg,1089,,2.61,,,O,0.393224041622
Sodium metasilicate,Water glass,Na2SiO3,6834-92-0,122.064,wh amorp solid; hyg,1089,,2.61,,,Si,0.230089749636
Sodium metasilicate pentahydrate,,Na2SiO3+5H2O,13517-24-3,212.14,wh pow,72 dec,,,,,H,0.0475130440893
Sodium metasilicate pentahydrate,,Na2SiO3+5H2O,13517-24-3,212.14,wh pow,72 dec,,,,,Na,0.21674185396
Sodium metasilicate pentahydrate,,Na2SiO3+5H2O,13517-24-3,212.14,wh pow,72 dec,,,,,O,0.603353531046
Sodium metasilicate pentahydrate,,Na2SiO3+5H2O,13517-24-3,212.14,wh pow,72 dec,,,,,Si,0.132391570904
