Name,Synonym,Formula,CAS,MW,form,Melting point,Boiling point,density,Solubility in 100 mL of water,Target,mass_frac
Potassium fluoroborate,Avogadrite,KBF4,14075-53-7,125.903,col orth cry,530,,2.505,0.5525,K,0.310543252181
Potassium formate,,KCHO2,590-29-4,84.116,col hyg cry,167,,1.91,33118.0,C,0.142787782643
Potassium formate,,KCHO2,590-29-4,84.116,col hyg cry,167,,1.91,33118.0,H,0.0119827751619
Potassium formate,,KCHO2,590-29-4,84.116,col hyg cry,167,,1.91,33118.0,K,0.46481550302
Potassium formate,,KCHO2,590-29-4,84.116,col hyg cry,167,,1.91,33118.0,O,0.380413939175
Potassium hexacyanocobaltate,Potassium cobalticyanide,K3Co(CN)6,13963-58-1,332.332,yel monocl cry,dec,,1.91,,C,0.216843676391
Potassium hexacyanocobaltate,Potassium cobalticyanide,K3Co(CN)6,13963-58-1,332.332,yel monocl cry,dec,,1.91,,Co,0.177332027071
Potassium hexacyanocobaltate,Potassium cobalticyanide,K3Co(CN)6,13963-58-1,332.332,yel monocl cry,dec,,1.91,,K,0.352944420918
Potassium hexacyanocobaltate,Potassium cobalticyanide,K3Co(CN)6,13963-58-1,332.332,yel monocl cry,dec,,1.91,,N,0.25287987562
Potassium hydride,,KH,7693-26-7,40.106,cub cry,619,,1.43,,H,0.0251317500718
Potassium hydride,,KH,7693-26-7,40.106,cub cry,619,,1.43,,K,0.974868249928
Potassium hydrogen carbonate,Potassium bicarbonate,KHCO3,298-14-6,100.115,col monocl cry,≈100 dec,,2.17,36.225,C,0.119968867846
Potassium hydrogen carbonate,Potassium bicarbonate,KHCO3,298-14-6,100.115,col monocl cry,≈100 dec,,2.17,36.225,H,0.010067807926
Potassium hydrogen carbonate,Potassium bicarbonate,KHCO3,298-14-6,100.115,col monocl cry,≈100 dec,,2.17,36.225,K,0.390533339912
Potassium hydrogen carbonate,Potassium bicarbonate,KHCO3,298-14-6,100.115,col monocl cry,≈100 dec,,2.17,36.225,O,0.479429984316
Potassium hydrogen fluoride,Potassium bifluoride,KHF2,7789-29-9,78.103,col tetr cry,238.8,,2.37,39.22,F,0.486495830206
Potassium hydrogen fluoride,Potassium bifluoride,KHF2,7789-29-9,78.103,col tetr cry,238.8,,2.37,39.22,H,0.0129052584561
Potassium hydrogen fluoride,Potassium bifluoride,KHF2,7789-29-9,78.103,col tetr cry,238.8,,2.37,39.22,K,0.500598911338
Potassium hydrogen sulfate,Mercallite,KHSO4,7646-93-7,136.169,wh monocl cry; hyg,≈200,,2.32,50.625,H,0.00740213399776
Potassium hydrogen sulfate,Mercallite,KHSO4,7646-93-7,136.169,wh monocl cry; hyg,≈200,,2.32,50.625,K,0.287131035265
Potassium hydrogen sulfate,Mercallite,KHSO4,7646-93-7,136.169,wh monocl cry; hyg,≈200,,2.32,50.625,O,0.469987113058
Potassium hydrogen sulfate,Mercallite,KHSO4,7646-93-7,136.169,wh monocl cry; hyg,≈200,,2.32,50.625,S,0.23547971768
Potassium hydrogen sulfide,Potassium bisulfide,KHS,1310-61-8,72.171,wh hex cry; hyg,≈450,,1.69,,H,0.0139659509799
Potassium hydrogen sulfide,Potassium bisulfide,KHS,1310-61-8,72.171,wh hex cry; hyg,≈450,,1.69,,K,0.541743497825
Potassium hydrogen sulfide,Potassium bisulfide,KHS,1310-61-8,72.171,wh hex cry; hyg,≈450,,1.69,,S,0.444290551195
Potassium hydrogen tartrate,Potassium bitartrate,KHC4H4O6,868-14-4,188.177,wh cry,,,1.98,0.572,C,0.255306168866
Potassium hydrogen tartrate,Potassium bitartrate,KHC4H4O6,868-14-4,188.177,wh cry,,,1.98,0.572,H,0.0267816717434
Potassium hydrogen tartrate,Potassium bitartrate,KHC4H4O6,868-14-4,188.177,wh cry,,,1.98,0.572,K,0.207773842952
Potassium hydrogen tartrate,Potassium bitartrate,KHC4H4O6,868-14-4,188.177,wh cry,,,1.98,0.572,O,0.510138316438
Potassium hydroxide,,KOH,1310-58-3,56.105,wh rhomb cry; hyg,406,1327,2.044,12125.0,H,0.0179650388089
Potassium hydroxide,,KOH,1310-58-3,56.105,wh rhomb cry; hyg,406,1327,2.044,12125.0,K,0.696869334349
Potassium hydroxide,,KOH,1310-58-3,56.105,wh rhomb cry; hyg,406,1327,2.044,12125.0,O,0.285165626843
Potassium iodate,,KIO3,7758-05-6,214.001,wh monocl cry,560 dec,,3.89,9.2225,I,0.593008854119
Potassium iodate,,KIO3,7758-05-6,214.001,wh monocl cry,560 dec,,3.89,9.2225,K,0.182701508316
Potassium iodate,,KIO3,7758-05-6,214.001,wh monocl cry,560 dec,,3.89,9.2225,O,0.224289637566
Potassium iodide,,KI,7681-11-0,166.003,col cub cry,681,1323,3.12,14825.0,I,0.764472002485
Potassium iodide,,KI,7681-11-0,166.003,col cub cry,681,1323,3.12,14825.0,K,0.235527997515
Potassium metabisulfite,Potassium pyrosulfite,K2S2O5,16731-55-8,222.324,wh powder,≈150 dec,,2.3,49.525,K,0.3517242434
Potassium metabisulfite,Potassium pyrosulfite,K2S2O5,16731-55-8,222.324,wh powder,≈150 dec,,2.3,49.525,O,0.359822349044
Potassium metabisulfite,Potassium pyrosulfite,K2S2O5,16731-55-8,222.324,wh powder,≈150 dec,,2.3,49.525,S,0.288453407555
Potassium metaborate,,KBO2,13709-94-9,81.908,wh hex cry,947,,≈2.3,,B,0.131989388107
Potassium metaborate,,KBO2,13709-94-9,81.908,wh hex cry,947,,≈2.3,,K,0.477343510593
Potassium metaborate,,KBO2,13709-94-9,81.908,wh hex cry,947,,≈2.3,,O,0.3906671013
Potassium niobate,,KNbO3,12030-85-2,180.002,wh rhomb cry,≈1100,,4.64,,K,0.217209302429
Potassium niobate,,KNbO3,12030-85-2,180.002,wh rhomb cry,≈1100,,4.64,,Nb,0.516138297343
Potassium niobate,,KNbO3,12030-85-2,180.002,wh rhomb cry,≈1100,,4.64,,O,0.266652400228
Potassium nitrate,Saltpeter,KNO3,7757-79-1,101.103,col orth cry or powder,334,400 dec,2.105,38.325,K,0.386716740914
Potassium nitrate,Saltpeter,KNO3,7757-79-1,101.103,col orth cry or powder,334,400 dec,2.105,38.325,N,0.138538641705
